lon,lat
-60.3,4.775
-59.8,4.275
-60.3,4.275
-60.8,4.275
-61.3,4.275
-64.8,4.275
-51.3,3.775
-51.8,3.775
-59.8,3.775
-60.3,3.775
-60.8,3.775
-61.3,3.775
-61.8,3.775
-62.3,3.775
-63.3,3.775
-63.8,3.775
-64.3,3.775
-51.3,3.275
-51.8,3.275
-60.3,3.275
-60.8,3.275
-61.3,3.275
-61.8,3.275
-62.3,3.275
-62.8,3.275
-63.3,3.275
-63.8,3.275
-51.3,2.775
-51.8,2.775
-52.3,2.775
-60.3,2.775
-60.8,2.775
-61.3,2.775
-61.8,2.775
-62.3,2.775
-62.8,2.775
-63.3,2.775
-63.8,2.775
-50.8,2.275
-51.3,2.275
-51.8,2.275
-52.3,2.275
-52.8,2.275
-53.3,2.275
-53.8,2.275
-54.8,2.275
-55.3,2.275
-55.8,2.275
-59.8,2.275
-60.3,2.275
-60.8,2.275
-61.3,2.275
-61.8,2.275
-62.3,2.275
-62.8,2.275
-63.3,2.275
-50.3,1.775
-50.8,1.775
-51.3,1.775
-51.8,1.775
-52.3,1.775
-52.8,1.775
-53.3,1.775
-53.8,1.775
-54.3,1.775
-54.8,1.775
-55.3,1.775
-55.8,1.775
-56.3,1.775
-56.8,1.775
-57.3,1.775
-59.8,1.775
-60.3,1.775
-60.8,1.775
-61.3,1.775
-61.8,1.775
-62.3,1.775
-62.8,1.775
-63.3,1.775
-63.8,1.775
-67.3,1.775
-67.8,1.775
-50.3,1.275
-50.8,1.275
-51.3,1.275
-51.8,1.275
-52.3,1.275
-52.8,1.275
-53.3,1.275
-53.8,1.275
-54.3,1.275
-54.8,1.275
-55.3,1.275
-55.8,1.275
-56.3,1.275
-56.8,1.275
-57.3,1.275
-57.8,1.275
-58.3,1.275
-59.3,1.275
-59.8,1.275
-60.3,1.275
-60.8,1.275
-61.3,1.275
-61.8,1.275
-62.3,1.275
-62.8,1.275
-63.3,1.275
-63.8,1.275
-64.3,1.275
-64.8,1.275
-67.3,1.275
-67.8,1.275
-68.3,1.275
-68.8,1.275
-69.3,1.275
-69.8,1.275
-50.3,0.775
-50.8,0.775
-51.3,0.775
-51.8,0.775
-52.3,0.775
-52.8,0.775
-53.3,0.775
-53.8,0.775
-54.3,0.775
-54.8,0.775
-55.3,0.775
-55.8,0.775
-56.3,0.775
-56.8,0.775
-57.3,0.775
-57.8,0.775
-58.3,0.775
-58.8,0.775
-59.3,0.775
-59.8,0.775
-60.3,0.775
-60.8,0.775
-61.3,0.775
-61.8,0.775
-62.3,0.775
-62.8,0.775
-63.3,0.775
-63.8,0.775
-64.3,0.775
-64.8,0.775
-65.3,0.775
-65.8,0.775
-66.8,0.775
-67.3,0.775
-67.8,0.775
-68.3,0.775
-68.8,0.775
-49.8,0.275
-50.3,0.275
-50.8,0.275
-51.3,0.275
-51.8,0.275
-52.3,0.275
-52.8,0.275
-53.3,0.275
-53.8,0.275
-54.3,0.275
-54.8,0.275
-55.3,0.275
-55.8,0.275
-56.3,0.275
-56.8,0.275
-57.3,0.275
-57.8,0.275
-58.3,0.275
-58.8,0.275
-59.3,0.275
-59.8,0.275
-60.3,0.275
-60.8,0.275
-61.3,0.275
-61.8,0.275
-62.3,0.275
-62.8,0.275
-63.3,0.275
-63.8,0.275
-64.3,0.275
-64.8,0.275
-65.3,0.275
-65.8,0.275
-66.3,0.275
-66.8,0.275
-67.3,0.275
-67.8,0.275
-68.3,0.275
-68.8,0.275
-69.3,0.275
-69.8,0.275
-48.8,-0.225
-49.3,-0.225
-49.8,-0.225
-50.3,-0.225
-50.8,-0.225
-51.3,-0.225
-51.8,-0.225
-52.3,-0.225
-52.8,-0.225
-53.3,-0.225
-53.8,-0.225
-54.3,-0.225
-54.8,-0.225
-55.3,-0.225
-55.8,-0.225
-56.3,-0.225
-56.8,-0.225
-57.3,-0.225
-57.8,-0.225
-58.3,-0.225
-58.8,-0.225
-59.3,-0.225
-59.8,-0.225
-60.3,-0.225
-60.8,-0.225
-61.3,-0.225
-61.8,-0.225
-62.3,-0.225
-62.8,-0.225
-63.3,-0.225
-63.8,-0.225
-64.3,-0.225
-64.8,-0.225
-65.3,-0.225
-65.8,-0.225
-66.3,-0.225
-66.8,-0.225
-67.3,-0.225
-67.8,-0.225
-68.3,-0.225
-68.8,-0.225
-69.3,-0.225
-69.8,-0.225
-47.3,-0.725
-47.8,-0.725
-48.8,-0.725
-49.3,-0.725
-49.8,-0.725
-50.3,-0.725
-50.8,-0.725
-51.3,-0.725
-51.8,-0.725
-52.3,-0.725
-52.8,-0.725
-53.3,-0.725
-53.8,-0.725
-54.3,-0.725
-54.8,-0.725
-55.3,-0.725
-55.8,-0.725
-56.3,-0.725
-56.8,-0.725
-57.3,-0.725
-57.8,-0.725
-58.3,-0.725
-58.8,-0.725
-59.3,-0.725
-59.8,-0.725
-60.3,-0.725
-60.8,-0.725
-61.3,-0.725
-61.8,-0.725
-62.3,-0.725
-62.8,-0.725
-63.3,-0.725
-63.8,-0.725
-64.3,-0.725
-64.8,-0.725
-65.3,-0.725
-65.8,-0.725
-66.3,-0.725
-66.8,-0.725
-67.3,-0.725
-67.8,-0.725
-68.3,-0.725
-68.8,-0.725
-69.3,-0.725
-45.8,-1.225
-46.3,-1.225
-46.8,-1.225
-47.3,-1.225
-47.8,-1.225
-48.3,-1.225
-48.8,-1.225
-49.3,-1.225
-49.8,-1.225
-50.3,-1.225
-50.8,-1.225
-51.3,-1.225
-51.8,-1.225
-52.3,-1.225
-52.8,-1.225
-53.3,-1.225
-53.8,-1.225
-54.3,-1.225
-54.8,-1.225
-55.3,-1.225
-55.8,-1.225
-56.3,-1.225
-56.8,-1.225
-57.3,-1.225
-57.8,-1.225
-58.3,-1.225
-58.8,-1.225
-59.3,-1.225
-59.8,-1.225
-60.3,-1.225
-60.8,-1.225
-61.3,-1.225
-61.8,-1.225
-62.3,-1.225
-62.8,-1.225
-63.3,-1.225
-63.8,-1.225
-64.3,-1.225
-64.8,-1.225
-65.3,-1.225
-65.8,-1.225
-66.3,-1.225
-66.8,-1.225
-67.3,-1.225
-67.8,-1.225
-68.3,-1.225
-68.8,-1.225
-69.3,-1.225
-44.8,-1.725
-45.3,-1.725
-45.8,-1.725
-46.3,-1.725
-46.8,-1.725
-47.3,-1.725
-47.8,-1.725
-48.3,-1.725
-48.8,-1.725
-49.3,-1.725
-49.8,-1.725
-50.3,-1.725
-50.8,-1.725
-51.3,-1.725
-51.8,-1.725
-52.3,-1.725
-52.8,-1.725
-53.3,-1.725
-53.8,-1.725
-54.3,-1.725
-54.8,-1.725
-55.3,-1.725
-55.8,-1.725
-56.3,-1.725
-56.8,-1.725
-57.3,-1.725
-57.8,-1.725
-58.3,-1.725
-58.8,-1.725
-59.3,-1.725
-59.8,-1.725
-60.3,-1.725
-60.8,-1.725
-61.3,-1.725
-61.8,-1.725
-62.3,-1.725
-62.8,-1.725
-63.3,-1.725
-63.8,-1.725
-64.3,-1.725
-64.8,-1.725
-65.3,-1.725
-65.8,-1.725
-66.3,-1.725
-66.8,-1.725
-67.3,-1.725
-67.8,-1.725
-68.3,-1.725
-68.8,-1.725
-69.3,-1.725
-44.8,-2.225
-45.3,-2.225
-45.8,-2.225
-46.3,-2.225
-46.8,-2.225
-47.3,-2.225
-47.8,-2.225
-48.3,-2.225
-48.8,-2.225
-49.3,-2.225
-49.8,-2.225
